######################################################################
# This is a configuration file for downloading Chinese or English data
######################################################################
#
# Chinese
# Name, URL
ZH_chinese_talk_show_lu_wang, https://www.youtube.com/playlist?list=PLF761269A71925FA6
ZH_tonight_80_talk_show, https://www.youtube.com/playlist?list=PL32oQxtHQxLzkvJMcw_x924-m6nQ22nGn
ZH_chinese_talk_show_kaze_ninja, https://www.youtube.com/playlist?list=PLZx7uU9KPMu5_cIENniseRuHDfvZILqHi
ZH_funny_talk_shows_chinese, https://www.youtube.com/playlist?list=PL636672B32352A4DD
ZH_chinese_talk_show_libridges, https://www.youtube.com/playlist?list=PLrLF6pVtg8Fz9DDkYHITiKmnGz847u2u3
ZH_chinese_talk_show_imotou75, https://www.youtube.com/playlist?list=PL37DE3CFBFF191F4F
ZH_adventure_talk_show, https://www.youtube.com/playlist?list=PLl7TPMAIgAx5eN4UMQpO19_1uGIHRO5yi
ZH_old_chinese_talk_show, https://www.youtube.com/playlist?list=PLYstt4r1mTF454dgkscIYqlKV0DbCUo_z
ZH_chinese_talk_show_anthony_ng, https://www.youtube.com/playlist?list=PLHLzg9y8BSxCnd8RwhGu0lb-XN8ellq4I
ZH_chinese_talk_show_jr_bondoc, https://www.youtube.com/playlist?list=PLLyRFb7tXdMdL7z_UDaZMRoDPAZ9GmhTc
ZH_chinese_talk_show_gay_williamson, https://www.youtube.com/playlist?list=PLZsQFYCsG_s2Yt-G37hlSQIFef3NTNgzf
ZH_chinese_stand_up_talk_show, https://www.youtube.com/playlist?list=PL5XsrIB5ZIJ1-9Rz8gZyaZW5toh-Z2bx4
ZH_chinese_talk_show_winston_hall, https://www.youtube.com/playlist?list=PLE2173FA48E173899
ZH_chinese_talk_show_tifa_cloud, https://www.youtube.com/playlist?list=PLmjEnbBhCSPqMlWjBlIApvN-kNwBi_hEN
ZH_protandim_chinese_stefanie_geoghegan, https://www.youtube.com/playlist?list=PLn2VMv1BBAVtVIYZ2VAM3lm9anKth6CO_
ZH_a_bright_world_talk_show, https://www.youtube.com/playlist?list=PL1e1GIP7WecES8BHMBfzvHjPFwe0qYpJH
ZH_chinese_tv_talk_shows, https://www.youtube.com/playlist?list=PL727F2F18C2C799E1
#----------------------------------------------------------------------------------------
# English
EN_english_talk_show_brown_anna, https://www.youtube.com/playlist?list=PLlx69PY_kydpYd0S3AzvGETveT5cqOYiF
EN_animals_on_talk_shows, https://www.youtube.com/playlist?list=PLKm__D26GUBHCiXMYL8fwFhKVTw13wKv2
EN_tv_talk_shows_and_late_night, https://www.youtube.com/playlist?list=PLrEnWoR732-CN09YykVof2lxdI3MLOZda
EN_animals_on_talk_shows, https://www.youtube.com/playlist?list=PLiLUvWGoonX-3GxsvkskwPjaereMCtETw
EN_popular_videos_talk_shows_topic, https://www.youtube.com/playlist?list=PL1aRhDks3AaMWIN2kv6vP7p5ibwEeFIGy
EN_american_talk_shows, https://www.youtube.com/playlist?list=PLoineSInT7CrgXjEZUsS7l64fIO7V4yRu
EN_talk_show_the_game_show, https://www.youtube.com/playlist?list=PLZxWJ6CTr63a0f8EGxq-TqbYMdxjGPJW-
EN_american_talk_shows_anna_klimek, https://www.youtube.com/playlist?list=PLHujFlbi2iWqawYI_RwQIfJFdWcMtNe-t
EN_late_night_shows_bad_sponsors, https://www.youtube.com/playlist?list=PLJBkz5LAVzvCY76D2MdVSgTsJob_Kkuc_
EN_american_talk_shows_max_lundqvist, https://www.youtube.com/playlist?list=PLcDdX4b6TCB22opsNGRQYXXTEj2vE8_7t
EN_bill_clinton_shreds_on_the_arsenio, https://www.youtube.com/playlist?list=PLB_14yRKPUvzKhPstzTHje8OEoAHkdcPV
EN_wafs_tv_real_american_talk_show, https://www.youtube.com/playlist?list=PL3640FAD932CD3E0D
EN_american_talk_show_clips_lesley_patching, https://www.youtube.com/playlist?list=PLKmcoNKC0VLVpzOp64qrhR8quz0z9h0e3
EN_loud_family_an_american_family_tv_show, https://www.youtube.com/playlist?list=PLEUTxVTZ1SrPupCmuEtmWm38zGQvyNGLQ
EN_important_men_and_women, https://www.youtube.com/playlist?list=PLM1md0n5w60z-j5jDTrptsncEaiNInst4
EN_late_night_talk_show_hosts_uk_emma, https://www.youtube.com/playlist?list=PLIDB354DqplVNCkXfb78rrJlKswNFs6iv
EN_american_all_woman_celebrities_on_talk_shows, https://www.youtube.com/playlist?list=PLtJ-Z6y_Rd_UdnxBUAxQxFO4DUP1CVKP_
EN_american_talk_show_chinling_su, https://www.youtube.com/playlist?list=PLKYcVlnE1VQBzms9ir6zMY-xT_us_vj8e
EN_talk_american_show, https://www.youtube.com/playlist?list=PL50aOl_GtCW3GJQO86y2yboozSKrjKimb
EN_late_night_talk_show_hosts_ratings_this_diagram, https://www.youtube.com/playlist?list=PLIDB354DqplXScQbxvcKNso9883UDddWY
EN_late_night_talk_show_hosts_uk_american_tv_didnt, https://www.youtube.com/playlist?list=PLIDB354DqplVXnQkTK_2synjIEkmEhxhG
EN_american_talk_shows_australian_continent, https://www.youtube.com/playlist?list=PL695E2928D7D2C6B8
EN_daily_show_american_tv_shows_catherine_delhaye, https://www.youtube.com/playlist?list=PL750sVYdNsWhOC15_tRBn21ZNOJFEENd7
EN_night_talk_show_hosts_adele_carpool_karaoke, https://www.youtube.com/playlist?list=PLIDB354DqplXiGZeMH5qQL565fCXk9HGv
EN_american_talk_shows_msevinam, https://www.youtube.com/playlist?list=PL1332957FBDF5B1B3
EN_the_real_talk_show_danielle_taylor, https://www.youtube.com/playlist?list=PLK8YRbY3ZmN7sA8gDTXcnoNn79ycOJIjm
EN_american_talk_show_tongsoon_hinamkha, https://www.youtube.com/playlist?list=PL-nyp4e1MaGeqJeLD7p6SCj3scwK-PbzQ
EN_late_night_talk_show_hosts_british_downton, https://www.youtube.com/playlist?list=PLrnzJy6LQnDvcKeLbQan_02cksh80vRCD
EN_the_late_night_talk_show_hosts_bruno_mars_carpool, https://www.youtube.com/playlist?list=PLZwyK-RY-C1qTcGmNjbWh2r3xF8PPwriM
EN_the_real_talk_show_season_1_kayla, https://www.youtube.com/playlist?list=PLHgqAIVkueAW3TFbLE83Cv-phaVKxRYoF
EN_the_late_night_show_hosts_american_sniper, https://www.youtube.com/playlist?list=PLvYEKB3fCVTsmdmA4gg-WL_0kV8_f9n88
EN_the_daily_show_with_jon_stewart_comedy_central, https://www.youtube.com/playlist?list=PL084A0469320C57B1
EN_priyanka_chopra, https://www.youtube.com/playlist?list=PL4dqgauMrHug7prQ10vouZf6eDMceoXJi
EN_late_night_talk_show_hosts_2015, https://www.youtube.com/playlist?list=PLIDB354DqplWjouSh1u37tUOLf4p9M9do
EN_best_late_night_talk_show_hosts_2015, https://www.youtube.com/playlist?list=PLZwyK-RY-C1oNVKl53Hyi7cOvEyAwlwi7
EN_american_talk_shows_stephan_karas, https://www.youtube.com/playlist?list=PLri0WPq8HwmQiKso6xfl4HAk2O9aYY3qz
EN_late_night_talk_show_hosts_black_down, https://www.youtube.com/playlist?list=PLrnzJy6LQnDv1j06gcuYGnF80W2SaVh2Z
EN_panther_sports_talk_show, https://www.youtube.com/playlist?list=PL5zm11HJbk476eNmaRkRMlBwWgIdLmoW6
